product_id,name,brand,category,serving_size_g,fat_per_serving,protein_per_serving,sodium_per_serving,net_carbs_per_serving,keto_compliant,high_protein,low_sodium,low_fat,keto_compliant_manual,high_protein_manual,low_sodium_manual,low_fat_manual,
5285000396437,,,en:plant-based-foods-and-beverages,100,21,9,1600,59,0,0,0,0,0,0,0,0,
5025125000105,No. 6 Sourdough Majestic Malted,Jason's,en:plant-based-foods-and-beverages,100,2.7,9.3,396,43.4,0,0,0,1,0,1,0,1,***
8425197712024,,Maruja,en:snacks,100,33,7.2,110,53,0,0,1,0,0,0,1,0,
6111184001074,Confiture De Fraises 430 G,El Baraka,en:plant-based-foods-and-beverages,100,0.5,0.5,8,62.5,0,0,1,1,0,0,1,1,
3270160697861,Paëlla à la Valenciana,Picard,en:meats-and-their-products,300,15.3,22.8,852,40.2,0,1,0,0,0,1,0,0,
5025125000006,Sourdough White Ciabattin,Jason's,en:plant-based-foods-and-beverages,148,1.184,14.948,535.76,60.976,0,1,0,1,0,1,0,1,
5010029229035,Crispy minis imp,Weetabix,en:plant-based-foods-and-beverages,140,7,14,112,84,0,1,1,0,0,1,1,0,
8076800195057,SPAGHETTI N° 5,"BARILLA NORGE ASbarilla, Barilla, BARILLA NORGE AS",en:plant-based-foods-and-beverages,85,1.7,11.05,3.4,57.8,0,1,1,1,0,1,1,1,
3083680973939,Ratatouille Cuisinée à la Provençal,Cassegrain,en:plant-based-foods-and-beverages,165,6.765,2.145,534.6,3.795,1,0,0,0,1,0,0,0,
50457250,Tomato Ketchup,Heinz,en:condiments,115,0.115,1.38,814.2,26.68,0,0,0,1,0,0,0,1,
6111242100206,Yaourt nature,Jaouda,en:dairies,100,3.3,4.2,0,8,0,0,1,0,0,0,1,0,
7394376616228,Oat Drink Barista Edition,Oatly,en:beverages-and-beverages-preparations,50,1.5,0.55,20,3.15,1,0,1,1,0,0,1,1,***
5000295142893,Mature Cheddar,Cathedral City,en:dairies,130,45.37,33.02,920.4,0.13,1,1,0,0,1,1,0,0,
6111162000181,Joly Thon Entier,Joly,en:seafood,100,1.1,33,200,0.97,1,1,0,1,1,1,0,1,
3046920029759,Excellence Noir Prodigieux 90% Cacao,Lindt,en:snacks,110,60.5,11,13.2,15.4,0,1,1,0,0,1,1,0,
5000436857112,Malt Wheats,Tesco,en:plant-based-foods-and-beverages,140,1.75,15.4,149.8,99.4,0,1,0,1,0,1,1,1,***
3362600011044,Henry’s,Henry's,en:snacks,42,4.54587,3.211782,148.235304,31.129434,0,0,0,0,0,0,0,0,
80135463,,nutella,en:plant-based-foods-and-beverages,15,4.635,0.945,6.42,8.625,0,0,1,0,0,0,1,0,
6111032008583,,Gervais,en:dairies,100,7,7,200,11.7,0,0,0,0,0,0,0,0,
8001665714372,Tortellini ricotta & épinards,"Giovanni Rana, Rana",en:plant-based-foods-and-beverages,100,7.8,9,440,29.5,0,0,0,0,0,0,0,0,
7613287194374,Bitesize shredded wheat,Nestlé,en:plant-based-foods-and-beverages,40,0.88,4.72,8,22.48,0,0,1,1,0,0,1,1,
5056053308742,Vegetable and roast chicken soup,YORKSHIRE PROVENDER,en:meals,100,2.3,3.5,256,3.9,1,0,0,1,1,0,0,1,
3083681116977,La Poêlée Rustique 750g,Bonduelle,en:plant-based-foods-and-beverages,150,4.35,3.6,288,19.5,0,0,0,0,0,0,0,0,
6111260230619,Tranches Au Goût Cheddar,Ideal,en:dairies,30,2.4,2.4,390,6.3,0,0,0,1,0,0,0,1,
6111242102767,Yaourt tendre,,en:dairies,100,5,4.2,0,14.9,0,0,1,0,0,0,1,0,